#Duplication rate	Coverage
1.0	2.57258418E8
2.0	5.9751506E7
3.0	1.3345759E7
4.0	3632798.0
5.0	1135626.0
6.0	473997.0
7.0	235907.0
8.0	143436.0
9.0	96391.0
10.0	71227.0
11.0	55071.0
12.0	43806.0
13.0	35539.0
14.0	30235.0
15.0	25363.0
16.0	21351.0
17.0	18571.0
18.0	16484.0
19.0	14249.0
20.0	12565.0
21.0	11294.0
22.0	10324.0
23.0	9321.0
24.0	8494.0
25.0	7957.0
26.0	7540.0
27.0	6832.0
28.0	6265.0
29.0	5604.0
30.0	5365.0
31.0	4806.0
32.0	4531.0
33.0	4097.0
34.0	3553.0
35.0	3311.0
36.0	2871.0
37.0	2590.0
38.0	2223.0
39.0	1990.0
40.0	1695.0
41.0	1488.0
42.0	1344.0
43.0	1237.0
44.0	1068.0
45.0	948.0
46.0	827.0
47.0	773.0
48.0	725.0
49.0	615.0
50.0	16752.0
