#Coverage (X)	Coverage
1.0	84.11320024799619
2.0	80.65776676331811
3.0	78.25264906271903
4.0	76.47544380882564
5.0	74.94795130760119
6.0	73.6229244969361
7.0	72.41641451462161
8.0	71.30586131536322
9.0	70.2636230993835
10.0	69.27914711837735
11.0	68.33337149024199
12.0	67.41992964914765
13.0	66.52926466796202
14.0	65.65321024679707
15.0	64.78565181042484
16.0	63.92266500473098
17.0	63.06122728618753
18.0	62.198684331393736
19.0	61.33291708702552
20.0	60.4616841756217
21.0	59.58403862888179
22.0	58.69705148196261
23.0	57.79870589825725
24.0	56.88592064360628
25.0	55.95147691430188
26.0	54.99088293347666
27.0	53.99704788427009
28.0	52.964591856113024
29.0	51.88432719775985
30.0	50.75061375391972
31.0	49.558727816554324
32.0	48.302327822138906
33.0	46.98087485342752
34.0	45.59400102621649
35.0	44.14290731494899
36.0	42.63113416118665
37.0	41.066858614369
38.0	39.458390557678825
39.0	37.81475447952682
40.0	36.14867549739793
41.0	34.472293742024846
42.0	32.79756194682541
43.0	31.13693749826811
44.0	29.504086291548447
45.0	27.908367394866843
46.0	26.35974660222432
47.0	24.866919868864528
48.0	23.436234517000514
49.0	22.074084274275137
50.0	20.78193870995132
51.0	19.563787395288344
