#Position (bp)	insert size	chromosomes
2604760.5	722372.1700253274	0.0
7814280.5	576786.7497676724	722372.1700253274
1.30238005E7	458334.061202982	0.0
1.82333205E7	445476.11722113274	0.0
2.34428405E7	340993.08478404896	722372.1700253274
2.86523605E7	324712.28060078085	0.0
3.38618805E7	318969.7179222561	0.0
3.90714005E7	271264.8880177197	722372.1700253274
4.42809205E7	267468.1445516561	0.0
4.94904405E7	338651.3851672263	0.0
5.46999605E7	250906.23150202289	722372.1700253274
5.99094805E7	293816.8317218218	0.0
6.51190005E7	235365.0755990621	0.0
7.03285205E7	206194.393189807	722372.1700253274
7.55380405E7	186310.4546466833	0.0
8.07475605E7	212971.9057944042	0.0
8.59570805E7	206105.7080501838	722372.1700253274
9.11666005E7	147783.83290004023	0.0
9.63761205E7	141792.01405719356	0.0
1.015856405E8	143323.53682977392	722372.1700253274
1.067951605E8	169584.61233307663	0.0
1.120046805E8	200548.33253727583	0.0
1.172142005E8	202712.32735903075	722372.1700253274
1.224237205E8	155822.26016015254	0.0
1.276332405E8	137129.63512456225	0.0
1.328427605E8	131997.30621208984	722372.1700253274
1.380522805E8	145159.5008137573	0.0
1.432618005E8	136351.96382069346	0.0
1.484713205E8	105623.57263296258	722372.1700253274
1.536808405E8	166630.82338428576	0.0
1.588903605E8	145344.6438695205	0.0
1.640998805E8	137972.41083504254	722372.1700253274
1.693094005E8	116916.16097801364	0.0
1.745189205E8	98385.82452244949	0.0
1.797284405E8	134055.42707203072	722372.1700253274
1.849379605E8	158023.77434395527	0.0
1.901474805E8	130175.2032995107	0.0
1.953570005E8	167412.88079531078	722372.1700253274
2.005665205E8	171033.41584560485	0.0
2.057760405E8	122596.12109543412	0.0
2.109855605E8	133654.31364703242	722372.1700253274
2.161950805E8	139990.86468436432	0.0
2.214046005E8	121729.36127422929	0.0
2.266141205E8	127089.33952023143	722372.1700253274
2.318236405E8	159383.83002435404	0.0
2.370331605E8	153021.13512778346	0.0
2.422426805E8	185194.18371961455	722372.1700253274
2.474522005E8	127054.07524824662	0.0
2.526617205E8	115685.21031111006	0.0
2.578712405E8	163585.89663186666	722372.1700253274
2.630807605E8	112441.8097278529	0.0
2.682902805E8	69515.11021700615	0.0
2.734998005E8	52968.53578978567	722372.1700253274
2.787093205E8	60506.394206463185	0.0
2.839188405E8	45591.54022116024	0.0
2.891283605E8	49887.12924149093	722372.1700253274
2.943378805E8	51531.098783981586	0.0
2.995474005E8	63276.350577025434	0.0
3.047569205E8	34612.86501601413	722372.1700253274
3.099664405E8	29511.349834893095	0.0
3.151759605E8	23378.260231557793	0.0
3.203854805E8	31628.16654514531	722372.1700253274
3.255950005E8	29375.1540460814	0.0
3.308045205E8	24517.678803281997	0.0
3.360140405E8	20159.30398255567	722372.1700253274
3.412235605E8	25249.69537521389	0.0
3.464330805E8	19591.682306555456	0.0
3.516426005E8	16470.6154183798	722372.1700253274
3.568521205E8	20964.678714350768	0.0
3.620616405E8	24256.754905798127	0.0
3.672711605E8	15992.568929676592	722372.1700253274
3.724806805E8	15297.671251726422	0.0
3.776902005E8	15802.153002200666	0.0
3.828997205E8	13079.512737251158	722372.1700253274
3.881092405E8	10804.698272443145	0.0
3.933187605E8	6835.608899315812	0.0
3.985282805E8	8627.456967284132	722372.1700253274
4.037378005E8	3528.3766270955953	0.0
4.089473205E8	5649.347277683951	0.0
4.141568405E8	6610.472407609975	722372.1700253274
4.193663605E8	5061.509585818817	0.0
4.245758805E8	4246.07480620155	0.0
4.297854005E8	5580.899320138487	722372.1700253274
4.349949205E8	1964.2001229122627	0.0
4.402044405E8	2569.1902091372085	0.0
4.454139605E8	1774.6829639341404	722372.1700253274
4.506234805E8	1858.56789820192	0.0
4.558330005E8	1956.8787421306765	0.0
4.610425205E8	602.8487286138377	722372.1700253274
4.64330184E8	324.3956215174162	0.0
4.66934944E8	471711.0880509431	0.0
4.714615605E8	439334.4153077458	722372.1700253274
4.766710805E8	425213.6101548309	0.0
4.818806005E8	299970.7444656505	0.0
4.870901205E8	290876.19522964	722372.1700253274
4.922996405E8	326139.06814166927	0.0
4.975091605E8	204379.4635148156	0.0
5.027186805E8	220399.43948567225	722372.1700253274
5.079282005E8	230158.75892616806	0.0
5.131377205E8	264137.45116101776	0.0
5.183472405E8	195483.63769352986	722372.1700253274
5.235567605E8	150226.22673966034	0.0
5.287662805E8	99287.22925612677	0.0
5.339758005E8	102990.83633651899	722372.1700253274
5.391853205E8	143458.76650320043	0.0
5.443948405E8	106814.70837198292	0.0
