#Insert size (bp)	insert size
1.0	1979.0
2.0	2403.0
3.0	1841.0
4.0	1581.0
5.0	1384.0
6.0	1359.0
7.0	1267.0
8.0	1271.0
9.0	1293.0
10.0	1296.0
11.0	1280.0
12.0	1300.0
13.0	1282.0
14.0	1286.0
15.0	1344.0
16.0	1387.0
17.0	1436.0
18.0	1555.0
19.0	44781.0
20.0	29577.0
21.0	17462.0
22.0	10753.0
23.0	7397.0
24.0	5393.0
25.0	5256.0
26.0	5097.0
27.0	4478.0
28.0	4148.0
29.0	4306.0
30.0	4191.0
31.0	4073.0
32.0	4145.0
33.0	4083.0
34.0	4083.0
35.0	4294.0
36.0	4070.0
37.0	4390.0
38.0	4318.0
39.0	4412.0
40.0	4632.0
41.0	4612.0
42.0	4765.0
43.0	4870.0
44.0	5070.0
45.0	5252.0
46.0	5313.0
47.0	5372.0
48.0	5734.0
49.0	5833.0
50.0	6294.0
51.0	6349.0
52.0	6691.0
53.0	7464.0
54.0	7483.0
55.0	7916.0
56.0	8140.0
57.0	8702.0
58.0	9235.0
59.0	9688.0
60.0	9694.0
61.0	10332.0
62.0	10791.0
63.0	11087.0
64.0	11793.0
65.0	11776.0
66.0	12313.0
67.0	12948.0
68.0	13600.0
69.0	14309.0
70.0	14763.0
71.0	15443.0
72.0	16433.0
73.0	17124.0
74.0	18011.0
75.0	19035.0
76.0	19732.0
77.0	21322.0
78.0	22791.0
79.0	24497.0
80.0	25871.0
81.0	27200.0
82.0	28380.0
83.0	29735.0
84.0	31626.0
85.0	32871.0
86.0	35136.0
87.0	36241.0
88.0	38500.0
89.0	40410.0
90.0	42568.0
91.0	44697.0
92.0	47693.0
93.0	49997.0
94.0	52456.0
95.0	55335.0
96.0	58321.0
97.0	62017.0
98.0	65195.0
99.0	68327.0
100.0	71904.0
101.0	76504.0
102.0	81237.0
103.0	84561.0
104.0	89348.0
105.0	94417.0
106.0	99387.0
107.0	104457.0
108.0	110340.0
109.0	115840.0
110.0	121919.0
111.0	128330.0
112.0	134868.0
113.0	141996.0
114.0	147626.0
115.0	155477.0
116.0	162360.0
117.0	169469.0
118.0	176891.0
119.0	184932.0
120.0	192915.0
121.0	201238.0
122.0	209201.0
123.0	217237.0
124.0	226171.0
125.0	233612.0
126.0	244284.0
127.0	252066.0
128.0	261355.0
129.0	269333.0
130.0	277941.0
131.0	287296.0
132.0	296882.0
133.0	304199.0
134.0	314707.0
135.0	324412.0
136.0	333037.0
137.0	342585.0
138.0	351905.0
139.0	361658.0
140.0	370224.0
141.0	380449.0
142.0	388976.0
143.0	398245.0
144.0	406592.0
145.0	417146.0
146.0	426210.0
147.0	435438.0
148.0	445506.0
149.0	455105.0
150.0	464469.0
151.0	474171.0
152.0	480535.0
153.0	489164.0
154.0	497327.0
155.0	507306.0
156.0	517136.0
157.0	528223.0
158.0	535313.0
159.0	545829.0
160.0	552374.0
161.0	562148.0
162.0	568052.0
163.0	578879.0
164.0	584422.0
165.0	594642.0
166.0	601435.0
167.0	609637.0
168.0	619005.0
169.0	624851.0
170.0	630962.0
171.0	639084.0
172.0	646607.0
173.0	657530.0
174.0	663163.0
175.0	670113.0
176.0	680272.0
177.0	686761.0
178.0	692609.0
179.0	699843.0
180.0	707984.0
181.0	712701.0
182.0	721407.0
183.0	726726.0
184.0	735357.0
185.0	738113.0
186.0	747142.0
187.0	751692.0
188.0	757702.0
189.0	763653.0
190.0	769780.0
191.0	774771.0
192.0	779977.0
193.0	782962.0
194.0	789106.0
195.0	795389.0
196.0	797270.0
