#Mapping quality	mapping quality
0.0	3.38328796E8
1.0	4.7240214E7
2.0	3.9108666E7
3.0	3.4885014E7
4.0	3.1416248E7
5.0	2.8761073E7
6.0	2.7301901E7
7.0	2.5225769E7
8.0	2.3542046E7
9.0	2.2720859E7
10.0	2.1624072E7
11.0	2.0212327E7
12.0	1.9604585E7
13.0	1.919574E7
14.0	1.7593351E7
15.0	1.7387077E7
16.0	1.6696089E7
17.0	1.5923572E7
18.0	1.5670401E7
19.0	1.515119E7
20.0	1.5756694E7
21.0	1.4647099E7
22.0	1.4339085E7
23.0	1.3914296E7
24.0	1.3828095E7
25.0	1.3549154E7
26.0	1.3213049E7
27.0	1.3581104E7
28.0	1.2871591E7
29.0	1.2803804E7
30.0	1.2934684E7
31.0	1.2791453E7
32.0	1.2620278E7
33.0	1.2822728E7
34.0	1.2613366E7
35.0	1.2648907E7
36.0	1.2787552E7
37.0	1.2891663E7
38.0	1.288382E7
39.0	1.3220349E7
40.0	1.5696274E7
41.0	1.3552895E7
42.0	1.3880381E7
43.0	1.423567E7
44.0	1.4639593E7
45.0	1.5169826E7
46.0	1.5641108E7
47.0	1.6186404E7
48.0	1.6837323E7
49.0	1.7490974E7
50.0	1.8351601E7
51.0	1.9196728E7
52.0	2.020634E7
53.0	2.1296112E7
54.0	2.2832384E7
55.0	2.4802293E7
56.0	2.7982988E7
57.0	3.3163665E7
58.0	4.7516397E7
59.0	7.2603704E7
60.0	2.27167068E8
