#Duplication rate	Coverage
1.0	2.65072535E8
2.0	5.7174822E7
3.0	1.1573175E7
4.0	3048466.0
5.0	880566.0
6.0	374096.0
7.0	187419.0
8.0	119770.0
9.0	83490.0
10.0	64389.0
11.0	50256.0
12.0	40935.0
13.0	33673.0
14.0	27880.0
15.0	23319.0
16.0	19436.0
17.0	16184.0
18.0	13959.0
19.0	12167.0
20.0	10262.0
21.0	9071.0
22.0	8101.0
23.0	7389.0
24.0	6524.0
25.0	5848.0
26.0	5206.0
27.0	4817.0
28.0	4370.0
29.0	3861.0
30.0	3503.0
31.0	3158.0
32.0	2807.0
33.0	2493.0
34.0	2256.0
35.0	2010.0
36.0	1740.0
37.0	1654.0
38.0	1383.0
39.0	1289.0
40.0	1118.0
41.0	1038.0
42.0	952.0
43.0	876.0
44.0	810.0
45.0	667.0
46.0	683.0
47.0	586.0
48.0	567.0
49.0	508.0
50.0	18074.0
