#Coverage (X)	Coverage
1.0	95.0013151236424
2.0	93.16780213547068
3.0	91.73879577716713
4.0	90.5696687517986
5.0	89.485069240834
6.0	88.45915340295866
7.0	87.43760293874271
8.0	86.40309053098582
9.0	85.31543464419957
10.0	84.15015696603044
11.0	82.87761388067277
12.0	81.47863250730697
13.0	79.93421171799173
14.0	78.23934846031749
15.0	76.39566706829503
16.0	74.4200927587147
17.0	72.3322214840293
18.0	70.16475659510093
19.0	67.94448064742483
20.0	65.70241247955973
21.0	63.46483863198266
22.0	61.2528558672933
23.0	59.08126252673968
24.0	56.95689729261332
25.0	54.88159651463224
26.0	52.85578926306323
27.0	50.872843784480715
28.0	48.92329677842619
29.0	46.999032909402985
30.0	45.09366555215047
31.0	43.199744067768016
32.0	41.31505179316502
33.0	39.44032612837721
34.0	37.577159542673456
35.0	35.73264851562446
36.0	33.91516997114255
37.0	32.129703590960574
38.0	30.386608727435217
39.0	28.694932423839646
40.0	27.062489844043327
41.0	25.496623411596076
42.0	24.00356997787388
43.0	22.588061888947493
44.0	21.25326215235009
45.0	20.000948619124472
46.0	18.831500354927414
47.0	17.744732361897576
48.0	16.735863105168363
49.0	15.802935638491107
50.0	14.940902087665762
51.0	14.145016285769671
