#Position (bp)	insert size	chromosomes
2604760.5	664084.2824987323	0.0
7814280.5	524906.2018429319	664084.2824987323
1.30238005E7	498006.07292760396	0.0
1.82333205E7	432125.9451946322	0.0
2.34428405E7	381578.24244596926	664084.2824987323
2.86523605E7	293997.3549959502	0.0
3.38618805E7	317716.4809910166	0.0
3.90714005E7	239528.50653416384	664084.2824987323
4.42809205E7	267643.0615292138	0.0
4.94904405E7	288217.45500873245	0.0
5.46999605E7	229318.00464285942	664084.2824987323
5.99094805E7	276423.76077222574	0.0
6.51190005E7	198919.5892021106	0.0
7.03285205E7	187635.24838513357	664084.2824987323
7.55380405E7	173563.9534094454	0.0
8.07475605E7	180720.26613044745	0.0
8.59570805E7	177131.1420912343	664084.2824987323
9.11666005E7	137293.4254231927	0.0
9.63761205E7	142914.82206572226	0.0
1.015856405E8	140054.6682701172	664084.2824987323
1.067951605E8	169202.15544590005	0.0
1.120046805E8	188158.48217865173	0.0
1.172142005E8	208523.66520222835	664084.2824987323
1.224237205E8	147986.43330716377	0.0
1.276332405E8	140689.97425055254	0.0
1.328427605E8	137713.11941854804	664084.2824987323
1.380522805E8	145606.17488125584	0.0
1.432618005E8	116852.652991641	0.0
1.484713205E8	105743.78087775884	664084.2824987323
1.536808405E8	149980.0144933369	0.0
1.588903605E8	129214.11619465315	0.0
1.640998805E8	136985.55513037095	664084.2824987323
1.693094005E8	128637.35649932404	0.0
1.745189205E8	107632.44126089051	0.0
1.797284405E8	121189.54979192732	664084.2824987323
1.849379605E8	140081.6623151904	0.0
1.901474805E8	129865.13393380365	0.0
1.953570005E8	183255.28767618065	664084.2824987323
2.005665205E8	181676.03682087394	0.0
2.057760405E8	132382.6250786027	0.0
2.109855605E8	122431.3953540758	664084.2824987323
2.161950805E8	157774.08872872003	0.0
2.214046005E8	129383.52078672365	0.0
2.266141205E8	120670.24548669123	664084.2824987323
2.318236405E8	154539.12321106542	0.0
2.370331605E8	160198.0781527675	0.0
2.422426805E8	184183.86929255168	664084.2824987323
2.474522005E8	152980.11776551887	0.0
2.526617205E8	119159.67435840901	0.0
2.578712405E8	156595.4722050243	664084.2824987323
2.630807605E8	107111.22818188407	0.0
2.682902805E8	70374.69010006053	0.0
2.734998005E8	63861.25146458503	664084.2824987323
2.787093205E8	55364.50953591923	0.0
2.839188405E8	41367.16410702654	0.0
2.891283605E8	47223.04841925378	664084.2824987323
2.943378805E8	55124.826099976686	0.0
2.995474005E8	55487.986904722224	0.0
3.047569205E8	32047.928170151357	664084.2824987323
3.099664405E8	27959.493564594086	0.0
3.151759605E8	29661.70884691194	0.0
3.203854805E8	32073.75957575902	664084.2824987323
3.255950005E8	23555.7769848116	0.0
3.308045205E8	25137.082633190355	0.0
3.360140405E8	25076.65562472807	664084.2824987323
3.412235605E8	22140.424301687202	0.0
3.464330805E8	19729.52993837297	0.0
3.516426005E8	15079.208165793583	664084.2824987323
3.568521205E8	20604.378748075163	0.0
3.620616405E8	23195.058218816826	0.0
3.672711605E8	11850.934424241294	664084.2824987323
3.724806805E8	16982.762207766715	0.0
3.776902005E8	14735.647944643511	0.0
3.828997205E8	13911.354071259722	664084.2824987323
3.881092405E8	9928.695821786972	0.0
3.933187605E8	9087.261057292912	0.0
3.985282805E8	10038.14301048409	664084.2824987323
