#Insert size (bp)	insert size
1.0	1215.0
2.0	2158.0
3.0	1852.0
4.0	1491.0
5.0	1378.0
6.0	1266.0
7.0	1324.0
8.0	1316.0
9.0	1309.0
10.0	1223.0
11.0	1337.0
12.0	1280.0
13.0	1287.0
14.0	1282.0
15.0	1264.0
16.0	1399.0
17.0	1433.0
18.0	1552.0
19.0	37954.0
20.0	26207.0
21.0	15857.0
22.0	9834.0
23.0	7035.0
24.0	5225.0
25.0	4933.0
26.0	4769.0
27.0	4266.0
28.0	3925.0
29.0	4133.0
30.0	4020.0
31.0	3883.0
32.0	4037.0
33.0	4016.0
34.0	3931.0
35.0	4166.0
36.0	3874.0
37.0	4089.0
38.0	4324.0
39.0	4307.0
40.0	4453.0
41.0	4676.0
42.0	4455.0
43.0	4529.0
44.0	4951.0
45.0	4995.0
46.0	5035.0
47.0	5316.0
48.0	5552.0
49.0	5751.0
50.0	6204.0
51.0	6263.0
52.0	6575.0
53.0	7468.0
54.0	7558.0
55.0	8072.0
56.0	8123.0
57.0	8554.0
58.0	8946.0
59.0	9563.0
60.0	9603.0
61.0	10161.0
62.0	10569.0
63.0	10929.0
64.0	12102.0
65.0	11844.0
66.0	12193.0
67.0	12990.0
68.0	13527.0
69.0	14098.0
70.0	14624.0
71.0	15609.0
72.0	16234.0
73.0	17062.0
74.0	17824.0
75.0	19100.0
76.0	20702.0
77.0	22204.0
78.0	23793.0
79.0	24616.0
80.0	26124.0
81.0	27240.0
82.0	28969.0
83.0	30500.0
84.0	31992.0
85.0	33585.0
86.0	34908.0
87.0	36832.0
88.0	38628.0
89.0	41655.0
90.0	43663.0
91.0	46495.0
92.0	48667.0
93.0	51261.0
94.0	54571.0
95.0	57652.0
96.0	61017.0
97.0	64507.0
98.0	68075.0
99.0	71906.0
100.0	77041.0
101.0	81016.0
102.0	85695.0
103.0	90514.0
104.0	95216.0
105.0	101182.0
106.0	106836.0
107.0	112413.0
108.0	118663.0
109.0	125618.0
110.0	133099.0
111.0	139040.0
112.0	146627.0
113.0	154058.0
114.0	161605.0
115.0	168715.0
116.0	178441.0
117.0	187079.0
118.0	195200.0
119.0	203431.0
120.0	214334.0
121.0	221780.0
122.0	231834.0
123.0	241413.0
124.0	250878.0
125.0	261228.0
126.0	271086.0
127.0	280821.0
128.0	291438.0
129.0	300287.0
130.0	310357.0
131.0	322537.0
132.0	332871.0
133.0	341246.0
134.0	354686.0
135.0	363586.0
136.0	375306.0
137.0	385408.0
138.0	394694.0
139.0	405561.0
140.0	414627.0
141.0	426239.0
142.0	436768.0
143.0	446801.0
144.0	459383.0
145.0	468132.0
146.0	479077.0
147.0	488764.0
148.0	499368.0
149.0	509995.0
150.0	520994.0
151.0	532059.0
152.0	544436.0
153.0	555931.0
154.0	564855.0
155.0	573549.0
156.0	582082.0
157.0	590567.0
158.0	600639.0
159.0	608483.0
160.0	617334.0
161.0	626706.0
162.0	636232.0
163.0	644063.0
164.0	651608.0
165.0	662930.0
166.0	668778.0
167.0	679166.0
168.0	686557.0
169.0	694128.0
170.0	700326.0
171.0	710047.0
172.0	717704.0
173.0	726724.0
174.0	736328.0
175.0	739789.0
176.0	748757.0
177.0	756367.0
178.0	762468.0
179.0	767297.0
180.0	774046.0
181.0	782340.0
182.0	786946.0
183.0	793583.0
184.0	799320.0
185.0	805162.0
186.0	812039.0
187.0	816550.0
188.0	821465.0
189.0	827918.0
190.0	831647.0
191.0	835070.0
192.0	843175.0
193.0	846098.0
194.0	850976.0
195.0	853694.0
196.0	856622.0
197.0	862365.0
198.0	864659.0
199.0	869981.0
200.0	871844.0
201.0	874677.0
202.0	875894.0
203.0	878587.0
204.0	883122.0
205.0	885244.0
206.0	884147.0
207.0	890005.0
208.0	889797.0
209.0	892802.0
