#GC Content (%)	Sample
1.0	5.7383673053116584E-6
2.0	7.5948979040889596E-6
3.0	6.413469341230678E-6
4.0	1.0187903451141553E-5
5.0	1.5880241072186008E-5
6.0	2.066732823597541E-5
7.0	2.6160203891861975E-5
8.0	3.5135992323967106E-5
9.0	4.1718237174177544E-5
10.0	5.457586231281702E-5
11.0	8.48480513325494E-5
12.0	1.3828851476677532E-4
13.0	2.251465289789927E-4
14.0	3.515900716610071E-4
15.0	5.047922041303571E-4
16.0	6.548950045257153E-4
17.0	8.31280754637648E-4
18.0	0.0010182993618153052
19.0	0.0012784284508373742
20.0	0.0016150435318834505
21.0	0.001969502787197113
22.0	0.0024542413922150575
23.0	0.0030807821112321743
24.0	0.003923677689533247
25.0	0.005498844171613209
26.0	0.005466224468695849
27.0	0.007250135568927589
28.0	0.008601122145398168
29.0	0.010154117662889425
30.0	0.012421800744769498
31.0	0.015327869517751449
32.0	0.019094217746459384
33.0	0.023361553058731593
34.0	0.028185740148040365
35.0	0.03336931166887939
36.0	0.03887110174028569
37.0	0.04322155131911639
38.0	0.045799581875554045
39.0	0.04797667853879627
40.0	0.04966777845231723
41.0	0.05025968950553732
42.0	0.04957366309121889
43.0	0.04825475920468254
44.0	0.04609061222594751
45.0	0.043167788647892294
46.0	0.040997749869571054
47.0	0.03976285015682237
48.0	0.03860112229883045
49.0	0.03625942348464871
50.0	0.03219564677943418
51.0	0.030383473453062377
52.0	0.021338701867468786
53.0	0.020299428312855722
54.0	0.016795694776120286
55.0	0.013852111810460562
56.0	0.011468541326823754
57.0	0.00941156679629086
58.0	0.007575611466381001
59.0	0.006112956875878178
60.0	0.0049574123388061555
61.0	0.0038626883578791998
62.0	0.0030004603121859008
63.0	0.0023474832111713183
64.0	0.0018978652552492522
65.0	0.0015473031798702128
66.0	0.001287312179900945
67.0	0.0011160664111988506
68.0	9.936121078199939E-4
69.0	8.697462274569428E-4
70.0	7.073535013622408E-4
71.0	5.118500890513287E-4
72.0	3.357712035011774E-4
73.0	2.608195342860772E-4
74.0	2.017634493712522E-4
75.0	1.216871419744031E-4
76.0	7.46294614252297E-5
77.0	5.06326526939264E-5
78.0	3.835807022267152E-5
79.0	2.465656753913325E-5
80.0	1.3041743875708314E-5
81.0	8.622894186056555E-6
82.0	8.316029624275184E-6
83.0	8.14725411529543E-6
84.0	9.758293064647633E-6
85.0	1.0586827381457338E-5
86.0	1.3348608437489686E-5
87.0	1.8105009145100954E-5
88.0	2.077473083259889E-5
89.0	2.2769350484177815E-5
90.0	2.418092746837212E-5
91.0	2.6236920032307315E-5
92.0	2.6789276243513782E-5
93.0	3.090126137138417E-5
94.0	3.510530586778897E-5
95.0	3.737610362497112E-5
96.0	4.093573254163504E-5
97.0	4.3958348475181553E-5
98.0	4.782484195362685E-5
99.0	1.2451029594279174E-4
100.0	1.9732925645351133E-4
