#Mapping quality	mapping quality
0.0	2.93867679E8
1.0	3.9789086E7
2.0	3.2851905E7
3.0	2.9242095E7
4.0	2.6431585E7
5.0	2.4372625E7
6.0	2.3265637E7
7.0	2.1615176E7
8.0	2.0708577E7
9.0	2.0000984E7
10.0	1.9416287E7
11.0	1.8473788E7
12.0	1.8155801E7
13.0	1.8176902E7
14.0	1.7049018E7
15.0	1.7025916E7
16.0	1.6807088E7
17.0	1.6364133E7
18.0	1.6343719E7
19.0	1.6074444E7
20.0	1.6819115E7
21.0	1.6091351E7
22.0	1.6014038E7
23.0	1.5820761E7
24.0	1.5975489E7
25.0	1.5903006E7
26.0	1.5851512E7
27.0	1.6202265E7
28.0	1.5846747E7
29.0	1.5904102E7
30.0	1.6188365E7
31.0	1.6147703E7
32.0	1.6223508E7
33.0	1.647558E7
34.0	1.6487835E7
35.0	1.669507E7
36.0	1.6961273E7
37.0	1.7161982E7
38.0	1.7342173E7
39.0	1.7756339E7
40.0	1.9914385E7
41.0	1.8504079E7
42.0	1.9031378E7
43.0	1.9512909E7
44.0	2.0109552E7
45.0	2.0932856E7
46.0	2.1614256E7
47.0	2.2381401E7
48.0	2.3530166E7
49.0	2.4316084E7
50.0	2.5799143E7
51.0	2.6933623E7
52.0	2.8667929E7
53.0	3.009033E7
54.0	3.2608126E7
55.0	3.5675149E7
56.0	4.0734071E7
57.0	4.6842547E7
58.0	5.7274326E7
59.0	8.6662937E7
60.0	3.24608978E8
