# Program:featureCounts v2.0.2; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-a" "gff/merged_TX_combined.saf" "-F" "SAF" "-o" "readCounts/TxF6f6_dna_counts.out" "-Q" "30" "DNAmapped/TxF6f6_merged_sorted_dupsMarked.bam" 
Geneid	Chr	Start	End	Strand	Length	DNAmapped/TxF6f6_merged_sorted_dupsMarked.bam
NChap2_final_00006269	A1	258655	262879	-	4225	7
NChap2_final_00008220	A1	324258	330337	+	6080	1639
NChap2_final_00008219	A1	332929	340030	-	7102	1772
NChap2_final_00008218	A1	340923	343244	-	2322	564
NChap2_final_00008217	A1	365183	371471	-	6289	1718
NChap2_final_00008216	A1	377367	383558	+	6192	1762
NChap2_final_00008215	A1	432390	434947	-	2558	786
NChap2_final_00008214	A1	477426	479417	+	1992	459
NChap2_final_00008213	A1	479380	480784	-	1405	389
NChap2_final_00008212	A1	485803	504899	+	19097	4920
NChap2_final_00008211	A1	586246	589704	-	3459	915
NChap2_final_00008210	A1	591205	594580	-	3376	979
NChap2_final_00008209	A1	600626	603720	+	3095	875
NChap2_final_00008208	A1	618380	622263	+	3884	1142
NChap2_final_00008207	A1	625970	627904	+	1935	560
NChap2_final_00008206	A1	628994	630776	-	1783	465
NChap2_final_00008205	A1	632849	635278	-	2430	900
NChap2_final_00008202	A1	649739	651552	+	1814	762
NChap2_final_00008201	A1	652835	665023	-	12189	3222
NChap2_final_00008200	A1	718730	720141	+	1412	103
NChap2_final_00008199	A1	729907	732527	+	2621	728
NChap2_final_00008198	A1	742346	749649	-	7304	2116
NChap2_final_00008197	A1	751199	757905	-	6707	1994
NChap2_final_00008195	A1	760117	761197	-	1081	285
NChap2_final_00008194	A1	763639	764264	+	626	202
NChap2_final_00008193	A1	767715	773220	-	5506	1486
NChap2_final_00008192	A1	775951	779891	-	3941	1041
NChap2_final_00008191	A1	781062	783815	-	2754	756
NChap2_final_00008190	A1	795771	800134	+	4364	1269
NChap2_final_00008189	A1	801847	803489	+	1643	471
NChap2_final_00008188	A1	804368	805928	-	1561	472
NChap2_final_00008187	A1	832847	836618	-	3772	911
NChap2_final_00008186	A1	842207	848948	+	6742	1488
NChap2_final_00008185	A1	848247	852926	-	4680	977
NChap2_final_00008184	A1	854497	858044	+	3548	947
NChap2_final_00008183	A1	859687	861300	+	1614	457
NChap2_final_00008182	A1	865676	868554	+	2879	674
NChap2_final_00008181	A1	876555	879334	+	2780	568
NChap2_final_00008180	A1	914149	916998	+	2850	706
NChap2_final_00008179	A1	917515	920258	-	2744	821
NChap2_final_00008178	A1	920870	949730	-	28861	7304
NChap2_final_00008177	A1	958794	963349	+	4556	1175
NChap2_final_00008176	A1	964764	976589	+	11826	3000
NChap2_final_00008175	A1	1001728	1002971	-	1244	329
NChap2_final_00008174	A1	1023778	1028339	-	4562	1365
NChap2_final_00008173	A1	1031308	1034558	+	3251	916
NChap2_final_00008172	A1	1049509	1052240	+	2732	730
NChap2_final_00008171	A1	1053166	1055806	+	2641	665
NChap2_final_00008170	A1	1077958	1079618	+	1661	510
NChap2_final_00008169	A1	1082967	1088865	+	5899	1423
NChap2_final_00008168	A1	1092059	1095426	-	3368	739
NChap2_final_00008167	A1	1098903	1102048	+	3146	776
NChap2_final_00008166	A1	1127112	1127454	+	343	91
NChap2_final_00008165	A1	1138108	1141229	+	3122	480
NChap2_final_00008164	A1	1146389	1148292	-	1904	298
NChap2_final_00008161	A1	1164879	1166534	-	1656	343
NChap2_final_00008160	A1	1177969	1182236	-	4268	849
NChap2_final_00008159	A1	1203454	1204973	+	1520	329
NChap2_final_00008158	A1	1216975	1220121	+	3147	844
NChap2_final_00008157	A1	1220414	1222892	-	2479	647
NChap2_final_00003479	A1	1253249	1257157	-	3909	8
NChap2_final_00008156	A1	1270262	1271849	+	1588	440
NChap2_final_00023129	A1	1339426	1346275	+	6850	310
NChap2_final_00019365	A1	1340176	1344104	-	3929	0
NChap2_final_00008155	A1	1381590	1385122	-	3533	549
NChap2_final_00008153	A1	1488451	1488891	+	441	150
NChap2_final_00008152	A1	1495482	1505233	-	9752	2396
NChap2_final_00008151	A1	1506667	1512711	-	6045	1846
NChap2_final_00008150	A1	1517756	1519906	+	2151	614
NChap2_final_00008149	A1	1538255	1540722	+	2468	640
NChap2_final_00008148	A1	1544652	1546427	-	1776	489
NChap2_final_00008147	A1	1577772	1580243	+	2472	676
NChap2_final_00008146	A1	1581990	1584506	-	2517	603
NChap2_final_00008145	A1	1585171	1586848	-	1678	356
NChap2_final_00008144	A1	1591080	1592493	-	1414	433
NChap2_final_00008143	A1	1598691	1601621	-	2931	778
NChap2_final_00008142	A1	1602935	1605312	-	2378	653
NChap2_final_00008141	A1	1607302	1610757	+	3456	786
NChap2_final_00008140	A1	1611559	1613034	-	1476	389
NChap2_final_00008139	A1	1619544	1621296	-	1753	314
NChap2_final_00008137	A1	1626859	1627358	-	500	170
NChap2_final_00008136	A1	1627702	1632558	+	4857	1094
NChap2_final_00008135	A1	1645706	1647792	-	2087	370
NChap2_final_00007337	A1	1677391	1678852	-	1462	466
NChap2_final_00008134	A1	1693335	1694847	+	1513	411
NChap2_final_00008133	A1	1705042	1709217	-	4176	985
NChap2_final_00008132	A1	1712083	1715055	-	2973	751
NChap2_final_00008131	A1	1717969	1725296	+	7328	1578
NChap2_final_00008130	A1	1726074	1726578	+	505	190
NChap2_final_00008129	A1	1730817	1733994	+	3178	789
NChap2_final_00008128	A1	1736907	1740723	+	3817	991
NChap2_final_00008126	A1	1741963	1752069	-	10107	2194
NChap2_final_00007996	A1	1744544	1745259	+	716	0
NChap2_final_00008127	A1	1751274	1752062	+	789	0
NChap2_final_00008125	A1	1775588	1783081	-	7494	1914
NChap2_final_00008124	A1	1793569	1798067	-	4499	1040
NChap2_final_00008123	A1	1806118	1807746	-	1629	412
NChap2_final_00008122	A1	1809012	1810756	+	1745	514
NChap2_final_00008089	A1	1812839	1817887	+	5049	2274
NChap2_final_00008120	A1	1821439	1823853	-	2415	106
NChap2_final_00008103	A1	1853692	1854630	-	939	28
NChap2_final_00007665	A1	1859775	1861350	+	1576	6
NChap2_final_00007663	A1	1873450	1875922	-	2473	800
NChap2_final_00008084	A1	1877075	1885074	-	8000	2179
NChap2_final_00008114	A1	1884637	1885261	+	625	34
NChap2_final_00008096	A1	1895646	1896624	-	979	0
NChap2_final_00008106	A1	1940614	1942864	-	2251	156
NChap2_final_00008085	A1	1942604	1943395	+	792	12
NChap2_final_00008118	A1	1950831	1953350	-	2520	10
NChap2_final_00008083	A1	1970323	1970454	+	132	0
NChap2_final_00007664	A1	1979102	1981516	-	2415	100
NChap2_final_00008087	A1	1981100	1981725	+	626	5
NChap2_final_00008116	A1	1986464	1990256	-	3793	272
NChap2_final_00008090	A1	1989844	1990516	+	673	63
NChap2_final_00008093	A1	1995352	1996838	-	1487	268
NChap2_final_00008088	A1	1996698	1997347	+	650	7
NChap2_final_00008113	A1	2009391	2011737	-	2347	116
NChap2_final_00008092	A1	2019147	2020438	+	1292	0
NChap2_final_00008104	A1	2037605	2040022	-	2418	134
NChap2_final_00024423	A1	2063677	2068479	+	4803	32
NChap2_final_00008091	A1	2076659	2078253	+	1595	62
NChap2_final_00008117	A1	2124080	2125849	-	1770	27
NChap2_final_00008081	A1	2143465	2146632	-	3168	723
NChap2_final_00008079	A1	2153489	2156228	+	2740	659
NChap2_final_00008078	A1	2162968	2166289	+	3322	929
NChap2_final_00008077	A1	2166699	2169093	-	2395	701
NChap2_final_00008076	A1	2175795	2178814	+	3020	895
NChap2_final_00008075	A1	2182466	2185272	+	2807	754
NChap2_final_00008074	A1	2198498	2201694	-	3197	866
NChap2_final_00008073	A1	2203105	2207062	+	3958	1094
NChap2_final_00008072	A1	2208268	2216074	-	7807	2188
NChap2_final_00008071	A1	2221554	2225865	-	4312	1082
NChap2_final_00008070	A1	2246598	2248510	-	1913	503
NChap2_final_00008069	A1	2255779	2258677	-	2899	880
NChap2_final_00008068	A1	2266196	2270756	-	4561	1244
NChap2_final_00008067	A1	2279418	2281221	+	1804	506
NChap2_final_00008066	A1	2281620	2287350	-	5731	1447
NChap2_final_00008065	A1	2289137	2290841	+	1705	440
NChap2_final_00008064	A1	2298401	2301370	+	2970	714
NChap2_final_00008063	A1	2316149	2320844	+	4696	991
NChap2_final_00008062	A1	2334960	2337565	+	2606	617
NChap2_final_00008061	A1	2339034	2342767	-	3734	1082
NChap2_final_00008060	A1	2346556	2365666	+	19111	4109
NChap2_final_00008059	A1	2368115	2369767	+	1653	518
NChap2_final_00004747	A1	2370475	2375953	-	5479	593
NChap2_final_00008055	A1	2379614	2383137	-	3524	771
NChap2_final_00008051	A1	2406988	2409334	-	2347	667
NChap2_final_00001613	A1	2432944	2436398	-	3455	27
NChap2_final_00008050	A1	2509774	2511462	-	1689	359
NChap2_final_00008049	A1	2529792	2535015	-	5224	899
NChap2_final_00008048	A1	2624310	2628840	+	4531	1172
NChap2_final_00008047	A1	2632239	2635399	-	3161	915
NChap2_final_00008046	A1	2655442	2656735	+	1294	403
NChap2_final_00008045	A1	2671962	2674455	-	2494	6
NChap2_final_00008044	A1	2683862	2686533	-	2672	616
NChap2_final_00008043	A1	2689263	2693358	-	4096	1048
NChap2_final_00008042	A1	2710228	2714827	+	4600	1131
NChap2_final_00008041	A1	2715859	2720989	-	5131	803
NChap2_final_00008039	A1	2747033	2750514	+	3482	884
NChap2_final_00008036	A1	2851069	2853779	+	2711	207
NChap2_final_00008035	A1	2858810	2860780	-	1971	498
NChap2_final_00008034	A1	2869771	2872516	+	2746	1095
NChap2_final_00008033	A1	2873061	2877004	+	3944	1278
NChap2_final_00008031	A1	2877690	2885434	-	7745	1202
NChap2_final_00008032	A1	2880595	2883808	+	3214	0
NChap2_final_00008030	A1	2889769	2897579	+	7811	2224
NChap2_final_00008029	A1	2905796	2907109	-	1314	297
NChap2_final_00008028	A1	2906820	2908861	+	2042	436
NChap2_final_00008027	A1	2909779	2911196	-	1418	314
NChap2_final_00008025	A1	2973433	2973941	+	509	224
NChap2_final_00008026	A1	2976579	2977450	+	872	240
NChap2_final_00008024	A1	2978185	2987995	+	9811	2059
NChap2_final_00008023	A1	3007413	3010699	-	3287	888
NChap2_final_00008022	A1	3014089	3021678	+	7590	1494
NChap2_final_00008021	A1	3022008	3028196	-	6189	1658
NChap2_final_00008020	A1	3030122	3042354	+	12233	3238
NChap2_final_00008019	A1	3043189	3046399	-	3211	898
NChap2_final_00008018	A1	3047479	3057652	+	10174	2877
NChap2_final_00008015	A1	3069239	3075407	-	6169	1672
NChap2_final_00008016	A1	3074065	3074456	+	392	0
NChap2_final_00008014	A1	3086764	3094699	+	7936	1881
NChap2_final_00008013	A1	3122268	3124980	+	2713	621
NChap2_final_00008009	A1	3132377	3136019	-	3643	236
NChap2_final_00008011	A1	3154892	3158751	-	3860	1463
NChap2_final_00008008	A1	3176472	3178700	-	2229	545
NChap2_final_00008007	A1	3184660	3187480	+	2821	867
NChap2_final_00008006	A1	3188153	3190130	-	1978	518
NChap2_final_00008005	A1	3209510	3210888	-	1379	372
NChap2_final_00008004	A1	3212980	3215441	+	2462	633
NChap2_final_00008003	A1	3215843	3223805	-	7963	1964
NChap2_final_00008002	A1	3226271	3230553	+	4283	1064
NChap2_final_00008001	A1	3231851	3242299	+	10449	2466
NChap2_final_00008000	A1	3245543	3252064	+	6522	1640
NChap2_final_00007999	A1	3252293	3255392	-	3100	972
NChap2_final_00007998	A1	3257416	3259925	+	2510	10
NChap2_final_00007997	A1	3258483	3260359	-	1877	77
NChap2_final_00027628	A1	3263528	3265932	-	2405	883
NChap2_final_00007995	A1	3274157	3276144	+	1988	525
NChap2_final_00007994	A1	3276941	3278914	-	1974	585
NChap2_final_00007993	A1	3281921	3283809	+	1889	11
NChap2_final_00007992	A1	3281980	3284901	-	2922	265
NChap2_final_00007991	A1	3293464	3295058	-	1595	526
NChap2_final_00007990	A1	3302680	3303009	+	330	119
NChap2_final_00007989	A1	3306218	3309502	+	3285	888
NChap2_final_00007988	A1	3743601	3751012	-	7412	2164
NChap2_final_00007987	A1	3755065	3767511	-	12447	3185
NChap2_final_00007986	A1	3771625	3774082	+	2458	689
NChap2_final_00007985	A1	3777577	3785326	+	7750	1052
NChap2_final_00007984	A1	3798307	3800385	+	2079	626
NChap2_final_00007983	A1	3818993	3822873	+	3881	1018
NChap2_final_00007982	A1	3837242	3837591	+	350	136
NChap2_final_00007981	A1	3850211	3853703	+	3493	844
NChap2_final_00007980	A1	3860349	3864509	-	4161	1134
NChap2_final_00007979	A1	3873107	3877663	-	4557	1130
NChap2_final_00007977	A1	3882446	3884963	-	2518	650
NChap2_final_00007976	A1	3895812	3899639	-	3828	1205
NChap2_final_00007975	A1	3917863	3919115	-	1253	323
NChap2_final_00007974	A1	3928814	3929159	-	346	138
NChap2_final_00007973	A1	3940673	3941690	+	1018	268
NChap2_final_00007972	A1	3953794	3956275	+	2482	562
